gene	disease_1	disease_2	disease_3	disease_4	disease_5	disease_6	disease_7	disease_8	disease_9	disease_10	disease_11	disease_12	disease_13	disease_14	disease_15
100499260	MIM300194														
100499532	MIM107320														
1005	MIM605806														
10050	MIM604216														
100502567	MIM613406														
100502568	MIM613440														
100502569	MIM613459														
100505381	MIM613318														
100505389	MIM300679														
100505390	MIM609782														
100505391	MIM612863														
100505392	MIM613457														
100505393	MIM613458														
100505394	MIM613576														
100506627	MIM612321														
100506658	MIM251290	MIM602876	MIM606854												
100506742	MIM608633														
100507044	MIM613995														
100507436	MIM600169														
100507679	MIM613917														
10051	MIM605575														
10052	MIM608655														
100526741	MIM600383														
100526742	MIM613604														
100526743	MIM613618														
100526790	MIM613636														
100526791	MIM613638														
100526823	MIM613637														
100528023	MIM132100														
100528024	MIM194072														
100528025	MIM613498														
100528026	MIM613509														
100528027	MIM613658														
100529099	MIM613681														
100529118	MIM300830														
100529119	MIM613523														
100529141	MIM151625														
100529146	MIM609029														
100529147	MIM613680														
100529148	MIM613689														
100529149	MIM613700														
100529151	MIM191390														
100529221	MIM613544														
100529222	MIM613548														
100529223	MIM613549														
100529224	MIM613606														
100529225	MIM158600														
100529226	MIM613533														
100529227	MIM613547														
100529228	MIM613603														
100529229	MIM613608														
100529230	MIM613530														
100529231	MIM613545														
100529242	MIM612530														
100529243	MIM613564														
10053	MIM607309														
100532738	MIM613735														
100534624	MIM300824														
10054	MIM613295														
10055	MIM613294														
10056	MIM609690														
10057	MIM605251														
10058	MIM111600	MIM605452													
10059	MIM603850	MIM614388													
1006	MIM603008														
10060	MIM212110	MIM239850	MIM601439	MIM608569	MIM614050										
10061	MIM612510														
100616436	MIM614627														
10062	MIM602423														
10063	MIM604813														
100653365	MIM300843														
100653366	MIM613806														
100653367	MIM613857														
100653368	MIM613909														
100653369	MIM613930														
100653370	MIM613969														
100653371	MIM614021														
100653372	MIM300833														
100653373	MIM606242														
100653374	MIM613776														
100653375	MIM613836														
100653376	MIM613916														
100653377	MIM108420														
100653378	MIM278850														
100653379	MIM300845														
100653380	MIM613729														
100653381	MIM613828														
100653382	MIM613884														
100653383	MIM613938														
100653384	MIM613944														
100653385	MIM613792														
100653390	MIM614129														
100653393	MIM613144														
10066	MIM606912														
10067	MIM606913														
10068	MIM604113														
100682260	MIM614187														
100682325	MIM614149														
100682326	MIM614166														
100682395	MIM614210														
100689013	MIM614207														
100689014	MIM614208														
100689211	MIM146450														
100689212	MIM614221														
100689213	MIM137950														
100689214	MIM300856														
100689215	MIM614220														
100689216	MIM614223														
100689490	MIM614227														
100689491	MIM614230														
1007	MIM609974														
10071	MIM604609														
10072	MIM606818														
10073	MIM607902														
100736250	MIM614237														
100736251	MIM614238														
100739996	MIM300858														
10075	MIM300697	MIM300706													
100750238	MIM614280														
100750246	MIM614528														
100750247	MIM614529														
100750328	MIM614252														
100750329	MIM614290														
100750330	MIM133190														
10076	MIM602454														
10077	MIM603853														
10078	MIM603852														
10079	MIM609126														
1008	MIM604555														
10081	MIM608138														
10082	MIM258315	MIM604404													
100820631	MIM252270														
100820632	MIM614294														
100820633	MIM156200														
100820757	MIM614317														
100820758	MIM300864														
100820759	MIM309120														
100820760	MIM614318														
100820761	MIM300861														
100820762	MIM300863														
100820763	MIM614319														
100820764	MIM614322														
100820829	MIM614071														
10083	MIM276900	MIM276904	MIM602092	MIM605242											
10084	MIM300463	MIM309500													
10085	MIM606018														
100852393	MIM614333														
100852394	MIM614341														
100852395	MIM614343														
100852396	MIM614347														
100852397	MIM614340														
100852398	MIM614344														
100852399	MIM614329														
100852400	MIM614339														
100852401	MIM614342														
100852402	MIM614345														
100852403	MIM614346														
100852404	MIM613675														
100859927	MIM614375														
100859928	MIM613444														
10086	MIM604109														
100861438	MIM614409														
100861439	MIM614422														
100861440	MIM614414														
100861504	MIM614635														
100861529	MIM144110														
100861563	MIM614481														
100862681	MIM614494														
100862706	MIM302380														
10087	MIM604677														
100874527	MIM614541														
100874532	MIM606656														
100874533	MIM300869														
100884129	MIM614526														
100884130	MIM614527														
100885773	MIM614588														
100885774	MIM614590														
100885786	MIM608156														
100885787	MIM600257														
100885788	MIM166750														
100885801	MIM614622														
100885802	MIM614623														
100885803	MIM614628														
100886964	MIM614821														
100887743	MIM303110														
100887751	MIM614646														
100887752	MIM614645														
100887753	MIM614644														
100887822	MIM614629														
100887823	MIM614617														
10089	MIM603940														
1009	MIM600023														
10090	MIM610752														
100909384	MIM614671														
100909385	MIM614668														
100909386	MIM614655														
100909387	MIM614676														
100913186	MIM300054														
100917	MIM604547														
100918	MIM605841														
10092	MIM604227														
10093	MIM604226														
10094	MIM604225														
10095	MIM604223														
10096	MIM604222														
10097	MIM604221														
10098	MIM613136														
10099	MIM613134														
100996934	MIM614746														
100996935	MIM614747														
100996949	MIM607411														
101	MIM602267														
1010	MIM600562														
10100	MIM613133														
10101	MIM610779														
10102	MIM604723	MIM610505													
101027378	MIM611456														
10103	MIM613170														
10105	MIM604486														
101055624	MIM614826														
101056702	MIM614836														
101059903	MIM600361														
10106	MIM608711														
101060869	MIM614846														
10107	MIM605701														
10108	MIM176270	MIM603857													
10109	MIM604224														
10110	MIM607589														
10111	MIM604040	MIM613078													
10112	MIM605664														
10113	MIM606395														
10114	MIM604424														
10116	MIM613539														
10117	MIM104500	MIM204650	MIM606585												
10118	MIM300211														
1012	MIM601364														
10120	MIM605144														
10121	MIM605143														
10123	MIM604787														
10124	MIM604786														
10125	MIM603962														
10126	MIM610565														
10127	MIM604191														
10128	MIM220111	MIM607544													
10129	MIM614818														
1013	MIM114019	MIM612580													
10130	MIM611099														
10131	MIM606219														
10133	MIM137760	MIM602432	MIM606657	MIM613435											
